iter	Passed	Remaining
0	176	176617
1	216	108100
2	257	85516
3	294	73411
4	335	66717
5	371	61604
6	408	57944
7	446	55406
8	484	53306
9	519	51458
10	558	50240
11	593	48896
12	632	47991
13	671	47268
14	711	46719
15	749	46094
16	790	45680
17	829	45251
18	867	44802
19	908	44511
20	947	44159
21	983	43708
22	1020	43357
23	1057	43001
24	1093	42649
25	1133	42449
26	1171	42212
27	1210	42010
28	1251	41905
29	1288	41676
30	1324	41399
31	1361	41196
32	1401	41071
33	1438	40872
34	1475	40687
35	1511	40471
36	1548	40311
37	1587	40200
38	1632	40220
39	1675	40206
40	1713	40079
41	1754	40011
42	1793	39919
43	1833	39838
44	1870	39688
45	1908	39576
46	1942	39389
47	1979	39258
48	2020	39205
49	2063	39210
50	2102	39120
51	2141	39032
52	2182	39001
53	2224	38964
54	2266	38935
55	2304	38851
56	2342	38754
57	2379	38646
58	2420	38604
59	2459	38539
60	2501	38506
61	2541	38449
62	2582	38411
63	2627	38432
64	2669	38397
65	2709	38347
66	2751	38313
67	2791	38261
68	2830	38192
69	2867	38096
70	2903	37989
71	2942	37922
72	2979	37830
73	3014	37727
74	3053	37663
75	3089	37563
76	3127	37488
77	3164	37408
78	3202	37333
79	3238	37243
80	3281	37226
81	3323	37205
82	3366	37188
83	3409	37182
84	3449	37134
85	3491	37111
86	3533	37080
87	3573	37033
88	3613	36992
89	3657	36978
90	3697	36929
91	3734	36853
92	3773	36802
93	3814	36761
94	3852	36699
95	3895	36682
96	3935	36636
97	3975	36591
98	4015	36548
99	4061	36554
100	4104	36534
101	4145	36494
102	4185	36449
103	4229	36437
104	4271	36412
105	4315	36398
106	4357	36370
107	4399	36333
108	4438	36280
109	4480	36250
110	4520	36207
111	4560	36155
112	4601	36120
113	4643	36087
114	4684	36050
115	4726	36018
116	4766	35972
117	4807	35931
118	4848	35895
119	4892	35878
120	4932	35834
121	4973	35793
122	5014	35756
123	5056	35722
124	5097	35682
125	5140	35655
126	5180	35610
127	5223	35588
128	5264	35548
129	5302	35486
130	5337	35406
131	5374	35341
132	5411	35279
133	5453	35245
134	5491	35184
135	5528	35124
136	5565	35056
137	5601	34990
138	5641	34942
139	5682	34905
140	5720	34852
141	5759	34801
142	5796	34736
143	5831	34665
144	5869	34608
145	5907	34555
146	5944	34497
147	5985	34454
148	6022	34395
149	6065	34369
150	6105	34328
151	6147	34298
152	6187	34252
153	6223	34190
154	6267	34166
155	6304	34111
156	6345	34071
157	6385	34029
158	6420	33962
159	6455	33893
160	6493	33838
161	6530	33782
162	6570	33738
163	6607	33681
164	6644	33625
165	6680	33565
166	6716	33502
167	6755	33457
168	6797	33421
169	6836	33376
170	6871	33313
171	6909	33262
172	6947	33210
173	6987	33172
174	7028	33136
175	7069	33096
176	7110	33061
177	7150	33019
178	7192	32987
179	7232	32948
180	7274	32916
181	7314	32875
182	7350	32817
183	7388	32764
184	7426	32714
185	7467	32679
186	7506	32634
187	7546	32595
188	7587	32557
189	7629	32524
190	7664	32464
191	7707	32433
192	7747	32393
193	7786	32350
194	7824	32303
195	7861	32250
196	7897	32192
197	7936	32145
198	7974	32099
199	8016	32064
200	8057	32029
201	8101	32003
202	8141	31964
203	8182	31927
204	8223	31892
205	8264	31854
206	8307	31823
207	8348	31789
208	8391	31759
209	8431	31718
210	8474	31690
211	8513	31644
212	8550	31594
213	8592	31557
214	8633	31521
215	8674	31486
216	8716	31452
217	8755	31408
218	8795	31365
219	8836	31330
220	8876	31287
221	8916	31247
222	8955	31202
223	8994	31159
224	9031	31107
225	9070	31063
226	9109	31020
227	9147	30974
228	9186	30928
229	9224	30882
230	9264	30841
231	9304	30801
232	9345	30762
233	9384	30720
234	9424	30680
235	9463	30634
236	9501	30589
237	9542	30553
238	9585	30522
239	9627	30486
240	9670	30456
241	9714	30427
242	9757	30397
243	9803	30373
244	9850	30355
245	9896	30331
246	9942	30309
247	9985	30277
248	10028	30247
249	10078	30235
250	10124	30211
251	10168	30181
252	10214	30159
253	10259	30133
254	10303	30102
255	10349	30079
256	10392	30046
257	10439	30022
258	10482	29991
259	10524	29954
260	10564	29913
261	10607	29879
262	10654	29857
263	10696	29820
264	10736	29777
265	10778	29741
266	10821	29707
267	10866	29681
268	10910	29649
269	10950	29607
270	10993	29573
271	11033	29530
272	11075	29494
273	11119	29463
274	11164	29432
275	11206	29396
276	11247	29357
277	11292	29327
278	11337	29297
279	11377	29255
280	11417	29212
281	11458	29175
282	11501	29140
283	11551	29123
284	11601	29105
285	11646	29074
286	11690	29043
287	11737	29018
288	11782	28987
289	11822	28944
290	11948	29111
291	12126	29403
292	12286	29647
293	12468	29942
294	12699	30350
295	12829	30512
296	13028	30837
297	13191	31075
298	13383	31378
299	13557	31633
300	13706	31831
301	13837	31983
302	13998	32200
303	14211	32535
304	14393	32798
305	14543	32984
306	14688	33157
307	14875	33420
308	15139	33854
309	15293	34040
310	15446	34221
311	15776	34790
312	15826	34737
313	15870	34673
314	15914	34608
315	15957	34541
316	16001	34476
317	16045	34412
318	16089	34347
319	16132	34281
320	16191	34248
321	16264	34245
322	16310	34186
323	16357	34127
324	16404	34070
325	16444	33999
326	16488	33935
327	16532	33870
328	16579	33814
329	16622	33747
330	16666	33685
331	16711	33623
332	16754	33559
333	16795	33490
334	16835	33419
335	16875	33348
336	16918	33285
337	16961	33219
338	17006	33159
339	17047	33091
340	17088	33023
341	17126	32951
342	17170	32889
343	17214	32828
344	17256	32763
345	17298	32696
346	17338	32628
347	17377	32558
348	17418	32492
349	17459	32425
350	17502	32362
351	17542	32293
352	17583	32228
353	17624	32161
354	17668	32102
355	17714	32045
356	17778	32022
357	17821	31960
358	17861	31892
359	17903	31828
360	17947	31768
361	17988	31703
362	18030	31640
363	18072	31577
364	18114	31514
365	18158	31454
366	18199	31391
367	18240	31326
368	18283	31265
369	18324	31200
370	18372	31149
371	18414	31086
372	18456	31025
