iter	MultiClass
0	1.565122691
1	1.409873938
2	1.288613674
3	1.191458665
4	1.117121421
5	1.054501397
6	0.9880293392
7	0.9372225284
8	0.8914024561
9	0.8458946929
10	0.8029135831
11	0.7699071358
12	0.7350456434
13	0.7057970535
14	0.6788886524
15	0.6543404337
16	0.6329661544
17	0.6124449537
18	0.5999182164
19	0.5823089946
20	0.5654331498
21	0.5473477552
22	0.5323848138
23	0.5188597678
24	0.5073752993
25	0.4962679013
26	0.4862214068
27	0.4821715895
28	0.4732346524
29	0.4605401817
30	0.4524630924
31	0.4463085568
32	0.4385987578
33	0.4311271801
34	0.4263564203
35	0.422656079
36	0.4167946046
37	0.4101087241
38	0.4048116193
39	0.3992930833
40	0.3958440184
41	0.3909654786
42	0.3870522887
43	0.3836381985
44	0.3783131675
45	0.3752467548
46	0.3710417961
47	0.3691714877
48	0.3674718122
49	0.3628822376
50	0.3606287874
51	0.3590007109
52	0.3562710701
53	0.3537425824
54	0.3502339529
55	0.3472375115
56	0.3439517636
57	0.3426085631
58	0.3390675199
59	0.3364416837
60	0.3340132578
61	0.332199727
62	0.3290831333
63	0.3277848254
64	0.3251910401
65	0.3237549493
66	0.3215547883
67	0.3191588787
68	0.3178985924
69	0.3163743273
70	0.3136157576
71	0.3124969282
72	0.3099302636
73	0.3089853226
74	0.3079201175
75	0.3053152257
76	0.3040383749
77	0.3021791616
78	0.3011042746
79	0.2985272864
80	0.2973923593
81	0.2958392926
82	0.2942233928
83	0.2936132133
84	0.2923391529
85	0.2894618951
86	0.2888211835
87	0.2869353973
88	0.2859859273
89	0.2841597953
90	0.2823226425
91	0.2812184184
92	0.280936546
93	0.2788251797
94	0.2780447797
95	0.2767841938
96	0.2750996458
97	0.2741296053
98	0.2728400978
99	0.2713153216
100	0.2705768925
101	0.2699556334
102	0.2689178956
103	0.2680157652
104	0.2664508656
105	0.2654060382
106	0.2651988176
107	0.2643485232
108	0.2631850973
109	0.2613713
110	0.2595450177
111	0.2583121286
112	0.2558747516
113	0.2554515531
114	0.253962241
115	0.2533647467
116	0.2524816185
117	0.2512349485
118	0.2506159956
119	0.2499923679
120	0.2481800484
