iter	MultiClass	TotalF1:use_weights=true	TotalF1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false	MultiClass:use_weights=true	MultiClass:use_weights=false
0	1.04461689	0.6545592337	0.4520027047	0.665786895	0.4650571792	1.04461689	1.322468132
1	0.8042079975	0.7487632984	0.6147315032	0.7544959326	0.6095933926	0.8042079975	0.996753016
2	0.6551071505	0.7811841336	0.6666172907	0.7863460069	0.6589898348	0.6551071505	0.8286218434
3	0.5884367632	0.8036629913	0.7226314548	0.8040238424	0.7141041931	0.5884367632	0.7412626294
4	0.5170629646	0.8236920982	0.7444680255	0.824281999	0.7372935197	0.5170629646	0.6747079295
5	0.488281827	0.8370892164	0.7830644512	0.8381721005	0.7776365947	0.488281827	0.6368479169
6	0.4687925311	0.8406383445	0.793376087	0.840997862	0.7882782719	0.4687925311	0.6064019629
7	0.4495882876	0.8484895109	0.7995891056	0.8492216705	0.7949491741	0.4495882876	0.5873123432
8	0.429007399	0.8573292243	0.8076790859	0.858080465	0.8032083863	0.429007399	0.5667502348
9	0.4142043909	0.8606313535	0.81093219	0.8613110728	0.8067026684	0.4142043909	0.5502495925
10	0.4025300808	0.8635360266	0.8134896443	0.8641606462	0.8092439644	0.4025300808	0.5372352161
11	0.3869962357	0.8687552629	0.8185847204	0.8696223914	0.8146442186	0.3869962357	0.5198787176
12	0.3735032869	0.8689339097	0.8232032028	0.8695367861	0.8192503177	0.3735032869	0.498250551
13	0.3674234534	0.871579845	0.8273934039	0.8721704468	0.8236975858	0.3674234534	0.4914001098
14	0.3556892978	0.8835493252	0.8361084474	0.8843095483	0.832592122	0.3556892978	0.4785057943
15	0.3439532317	0.8864378521	0.839503162	0.887095527	0.8360864041	0.3439532317	0.4640454962
16	0.3373584422	0.8913849642	0.8446513606	0.8921616753	0.8414866582	0.3373584422	0.4561317649
17	0.3293714481	0.8951075533	0.8515115467	0.8956142672	0.8484752224	0.3293714481	0.443057544
18	0.3095006399	0.8962546183	0.8550139346	0.8968680928	0.8519695044	0.3095006399	0.4194326744
19	0.3059953853	0.9007258891	0.8595543573	0.9013276366	0.8567344346	0.3059953853	0.415878168
20	0.2916585383	0.9044260226	0.8656848868	0.9050278107	0.8632465057	0.2916585383	0.3958719541
21	0.2857773764	0.9093969694	0.8706842902	0.9099989586	0.8684879288	0.2857773764	0.3883543672
22	0.2746442847	0.9103881426	0.8722724265	0.9109554006	0.8700762389	0.2746442847	0.3755477698
23	0.2676105082	0.9134124244	0.8751280897	0.9140560571	0.873094028	0.2676105082	0.3677819208
24	0.2604186864	0.917890201	0.8820223928	0.9183933115	0.8800825921	0.2604186864	0.358403494
25	0.2560745069	0.9206929147	0.8850824873	0.9211641648	0.8832592122	0.2560745069	0.3525136452
