iter	Passed	Remaining
0	147	14556
1	187	9186
2	234	7583
3	278	6672
4	320	6097
5	363	5697
6	404	5375
7	448	5154
8	490	4964
9	535	4816
10	577	4675
11	622	4564
12	664	4446
13	707	4347
14	750	4253
15	794	4173
16	837	4088
17	879	4008
18	949	4047
19	994	3979
20	1038	3905
21	1080	3832
22	1124	3765
23	1166	3693
24	1209	3628
25	1255	3573
26	1301	3518
27	1344	3458
28	1386	3395
29	1431	3339
30	1474	3281
31	1517	3224
32	1558	3164
33	1601	3109
34	1644	3054
35	1687	2999
36	1728	2943
37	1771	2890
38	1812	2834
39	1855	2782
40	1899	2732
41	1945	2686
42	1988	2635
43	2032	2586
44	2077	2538
45	2121	2489
46	2164	2440
47	2206	2390
48	2249	2341
49	2294	2294
50	2337	2245
51	2379	2196
52	2423	2149
53	2467	2102
54	2511	2055
55	2555	2007
56	2598	1960
57	2640	1912
58	2681	1863
59	2726	1817
60	2768	1770
61	2812	1723
62	2858	1678
63	2907	1635
64	2968	1598
65	3017	1554
66	3060	1507
67	3102	1460
68	3145	1413
69	3189	1366
70	3232	1320
71	3275	1273
72	3316	1226
73	3358	1180
74	3401	1133
75	3443	1087
76	3487	1041
77	3530	995
78	3573	949
79	3614	903
80	3658	858
81	3700	812
82	3743	766
83	3788	721
84	3829	675
85	3875	630
86	3918	585
87	3962	540
88	4005	495
89	4051	450
90	4094	404
91	4137	359
92	4179	314
93	4221	269
94	4264	224
95	4305	179
96	4346	134
97	4391	89
98	4435	44
99	4478	0
